lga_code,district_code,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13
1,10,-0.04060119,-0.17504783,-0.27796525,-0.28281689,-0.29103151,-0.18054637,-0.23852269,-0.17885379,-0.14958432,-0.10016814,-0.25968841
1,11,-0.043163065,-0.19478755,-0.27166143,-0.26548555,-0.2743898,-0.19403408,-0.24252836,-0.18175073,-0.15316556,-0.10505944,-0.2119683
1,12,-0.035363205,-0.16064884,-0.23273672,-0.23749645,-0.25439,-0.1556889,-0.22059147,-0.1657003,-0.15273122,-0.11695333,-0.20543709
2,20,-0.062159572,-0.213994,-0.26383528,-0.27026841,-0.285359,-0.22797239,-0.27268663,-0.22938611,-0.22757116,-0.21706915,-0.25236663
2,21,-0.045223836,-0.14978451,-0.21269241,-0.19612499,-0.20272596,-0.14056796,-0.19859236,-0.15417603,-0.14041062,-0.12001502,-0.16470027
2,22,-0.02921153,-0.10416925,-0.17028056,-0.14541107,-0.15321547,-0.08073505,-0.13578461,-0.088101886,-0.054171655,0.019883331,-0.11662997
2,23,-0.024133988,-0.090306222,-0.13297506,-0.12430157,-0.13461716,-0.071333222,-0.13635737,-0.094746001,-0.070444494,-0.006959493,-0.088096917
2,24,-0.039231393,-0.12866721,-0.17588593,-0.17308794,-0.18021168,-0.12257826,-0.1721137,-0.13683043,-0.12463157,-0.086712375,-0.14372583
3,30,-0.006226558,-0.04550685,-0.059289865,-0.075822413,-0.092144087,-0.051123064,-0.086922847,-0.060024943,-0.049276385,-0.036440339,-0.051940005
3,31,0.019165173,0.001111246,0.010808743,-0.002260079,-0.028493199,0.003301912,-0.040632311,-0.009793798,0.00320488,0.01926888,0.038792823
3,32,-0.018571911,-0.065411054,-0.094669417,-0.10993796,-0.11795708,-0.037830546,-0.096973136,-0.065059178,-0.043899391,0.020114537,-0.04957585
3,33,-0.12063459,-0.32793897,-0.31547758,-0.34533045,-0.35631061,-0.30148339,-0.3610048,-0.3544462,-0.3439745,-0.31307521,-0.29855779
3,34,-0.048260488,-0.05054871,-0.030251015,-0.069435522,-0.078102373,-0.014932816,-0.10540706,-0.096301496,-0.098945439,-0.034459908,-0.025686402
3,35,-0.069467597,-0.095954455,-0.1839146,-0.45910567,-0.46540895,-0.40749362,-0.48600984,-0.45484492,-0.47076783,-0.42203286,-0.42598611
3,36,-0.015344736,-0.048228968,-0.00939033,-0.062260538,-0.068664655,0.010541663,-0.069600113,-0.040565547,-0.06846679,-0.011926829,-0.032092653
3,37,-0.051064607,-0.1107114,-0.08974421,-0.10087877,-0.11585039,-0.049248856,-0.15535226,-0.11252715,-0.13534442,-0.086215466,-0.083029233
3,38,-0.60688508,-0.60614043,-0.59720474,-0.60012603,-0.61942947,-0.5958873,-0.63025546,-0.62126249,-0.63163018,-0.59829307,-0.59869403
4,40,-0.063180491,-0.03850621,0.027708316,-0.003346443,-0.057112269,0.026102044,-0.037658431,-0.051624183,-0.069382459,-0.060369499,-0.006068221
4,41,-0.043943468,-0.13171515,-0.1320613,-0.12940772,-0.16084738,-0.058596186,-0.17131773,-0.1675103,-0.16895252,-0.084872827,-0.075527452
4,42,-0.03539468,-0.10483818,-0.077137016,-0.11793736,-0.13875245,-0.040351704,-0.15135814,-0.13137296,-0.13413183,-0.092120327,-0.076419272
4,43,-0.021117555,-0.086794227,-0.10579646,-0.12916851,-0.1456725,-0.060775999,-0.13842152,-0.12149969,-0.14072828,-0.080048077,-0.092661127
4,44,0.009821209,-0.02034466,0.006579872,-0.053967901,-0.069418132,0.029766075,-0.076311387,-0.056712173,-0.053730227,-0.011074507,-0.026524737
4,45,-0.015711129,-0.090056859,-0.061603878,-0.11870934,-0.12460382,-0.055310473,-0.16154404,-0.15638085,-0.16245256,-0.10548002,-0.095818408
5,50,-0.023524644,-0.072409362,-0.053486954,-0.11183284,-0.15264378,-0.073851429,-0.15056802,-0.1909966,-0.23530366,-0.19996619,-0.17014593
5,51,-0.025117135,-0.034283105,0.050623901,-0.015269395,-0.070990272,-0.022487495,-0.17618798,-0.15884081,-0.1852998,-0.16366725,-0.064194284
5,52,-0.014084539,-0.1321777,-0.18418206,-0.20151682,-0.3163597,-0.31419286,-0.47345611,-0.3900325,-0.49404117,-0.41495124,-0.44312027
5,53,-0.026087245,-0.05453505,-0.048231974,-0.086410038,-0.11167035,-0.038861159,-0.12501955,-0.11838087,-0.15083107,-0.10797956,-0.024337692
5,54,-0.034612227,-0.059519283,-0.025015874,-0.078439921,-0.10964174,-0.0196281,-0.10300229,-0.11551929,-0.1131973,-0.096417226,-0.004879837
5,55,0.01313429,-0.02972571,-0.045530058,-0.091178492,-0.11047085,-0.028825397,-0.091121875,-0.076675728,-0.076006897,-0.034973264,-0.031351406
5,56,0.006456959,0.017531531,0.036817174,-0.042638939,-0.088473231,0.021343159,-0.056083955,-0.048176225,-0.065394886,-0.04019272,0.035451829
6,60,-0.00932081,-0.008693236,0.018180149,-0.024160206,-0.066279069,0.013344399,-0.058896244,-0.055167958,-0.06720195,-0.024861591,0.030786259
6,61,0.013383955,0.001661911,0.025991002,-0.039109424,-0.067696616,0.024565116,-0.0792908,-0.050143093,-0.081827894,-0.067303218,0.003107495
6,63,-0.022355558,-0.071928181,-0.068938293,-0.11766645,-0.14270385,-0.07535173,-0.16272004,-0.21710844,-0.15295163,-0.13074437,-0.14838687
6,64,0.024835067,0.021691898,0.045265626,0.000723754,-0.048863757,0.029797938,-0.050435305,-0.055604983,-0.080502108,-0.068632551,-0.025455488
7,71,0.003456383,-0.042654283,-0.02299202,-0.086123243,-0.1049472,-0.002491399,-0.12869065,-0.12435637,-0.13832405,-0.097480901,-0.045897104
7,72,-0.013697411,-0.037907053,-0.020002097,-0.07042677,-0.095108256,-0.042612605,-0.11398315,-0.14053904,-0.139687,-0.11421908,-0.041786831
7,73,-0.014838348,-0.0307179,-0.021929165,-0.065488413,-0.077085696,-0.011442443,-0.093317695,-0.11540169,-0.10210642,-0.074811146,-0.066214621
7,74,0.000498549,-0.034613546,-0.035325766,-0.075316481,-0.099496104,-0.018036794,-0.10492671,-0.13706534,-0.12210887,-0.058401421,-0.086337991
7,75,-0.044566225,-0.13769124,-0.15193792,-0.17795853,-0.18281327,-0.11146654,-0.21813503,-0.2369642,-0.22212769,-0.18875696,-0.19363442
8,80,-0.030606864,-0.054857809,-0.053398605,-0.088821657,-0.10600051,-0.045556679,-0.13092282,-0.16710678,-0.13694756,-0.10996621,-0.12955321
8,81,-0.008536301,-0.031891428,-0.031176869,-0.061237045,-0.075775027,-0.019870071,-0.084974214,-0.08561682,-0.072063006,-0.043144342,-0.087675035
8,82,0.003818308,-0.027868723,-0.023157759,-0.051803317,-0.069341131,-0.024281828,-0.10172234,-0.14438492,-0.086829275,-0.070746101,-0.077010795
8,83,0.009191626,0.002024638,0.024031796,-0.009910262,-0.039479259,0.015255229,-0.039408401,-0.077683039,-0.025732372,-0.01998252,-0.043902975
8,85,0.002652591,-0.020670561,0.005888359,-0.03909925,-0.060484353,0.016613698,-0.084415272,-0.080424033,-0.075644433,-0.06409777,-0.064409852
8,86,0.003706359,-0.031088598,-0.011483544,-0.06381768,-0.086541727,-0.030602502,-0.142643,-0.13227342,-0.13826835,-0.11505821,-0.073903792
